epoch,loss,lr,test_loss
0,-0.6848083842046482,0.005944272445820433,-1.0495184125900268
1,-1.1589027741520674,0.01195046439628483,-1.2460304470062256
2,-1.2718162979047323,0.017956656346749228,-1.312124439239502
3,-1.326406421120634,0.023962848297213624,-1.309191840171814
4,-1.3573113556989689,0.02996904024767802,-1.3862777223587037
5,-1.387852903493901,0.035975232198142415,-1.4177910327911376
6,-1.4207730797148241,0.04198142414860681,-1.434115951538086
7,-1.402592673744123,0.047987616099071206,-1.4328018732070922
8,-1.451675417496986,0.0539938080495356,-1.4688580923080445
9,-1.4773930753629232,0.06,-1.5009190969467163
10,-1.4793922544754659,0.05999976765396864,-1.3756589069366456
11,-1.503334373542943,0.059999060913265956,-1.5278808917999267
12,-1.5038012561109877,0.059997879763857245,-1.51628325176239
13,-1.5312570419508158,0.05999622422442134,-1.5439866724014282
14,-1.5544405499684442,0.05999409432113914,-1.5671597356796265
15,-1.5616419413655074,0.059991490087693194,-1.5593169908523559
16,-1.573692617957125,0.05998841156526715,-1.5783683576583862
17,-1.5806735065794482,0.05998485880254513,-1.5951758069992066
18,-1.5879576120179952,0.059980831855710945,-1.5891779556274415
19,-1.594086629828227,0.059976330788447205,-1.6085878992080689
20,-1.6066835233845662,0.05997135567193434,-1.614453309059143
21,-1.6139257937362514,0.0599659065848494,-1.6047090396881103
22,-1.6174130206255568,0.05995998361336492,-1.6193940048217774
23,-1.6238911348519867,0.05995358685114746,-1.6216452617645263
24,-1.6325827111902924,0.05994671639935619,-1.6378239984512328
25,-1.6391838752117354,0.059939372366641236,-1.6319762725830078
26,-1.6187125149461412,0.059931554869142006,-1.624311287879944
27,-1.6341396508757602,0.05992326403048534,-1.6370075902938843
28,-1.6499016592183064,0.059914499981783526,-1.6458576803207396
29,-1.6524140613595235,0.05990526286163229,-1.6544876432418822
30,-1.6579754315700728,0.059895552816108526,-1.6617201089859008
31,-1.6608605151323927,0.05988536999876806,-1.6465245990753175
32,-1.6662538088474077,0.05987471457064316,-1.6616036386489867
33,-1.6696093500274973,0.05986358670024005,-1.6557828712463378
34,-1.6722102681386102,0.059851986563536165,-1.6702192878723146
35,-1.6573135250622464,0.05983991434397746,-1.3328598499298097
36,-1.6491299781602682,0.059827370232475446,-1.661523871421814
37,-1.6376397277891022,0.05981435442740418,-1.6616370964050293
38,-1.6606551396478082,0.05980086713459716,-1.663887557029724
39,-1.667334243194344,0.05978690856734402,-1.6686216259002686
40,-1.6770334059430152,0.0597724789463872,-1.6756507577896118
41,-1.681916121355037,0.059757578499918446,-1.6773167734146117
42,-1.682606309959569,0.05974220746357518,-1.684717116355896
43,-1.6852112639810621,0.059726366080436785,-1.684520058631897
44,-1.6829225255042006,0.05971005460102079,-1.6858405447006226
45,-1.6868190986593974,0.05969327328327884,-1.6932787790298462
46,-1.688878074134748,0.059676022392592704,-1.697918345451355
47,-1.6966519884227478,0.05965830220177001,-1.690418519973755
48,-1.6993397216206974,0.05964011299103995,-1.6952802171707153
49,-1.7000853572924113,0.05962145504804885,-1.6941622791290283
50,-1.6916489638004106,0.059602328667855656,-1.6981781587600708
51,-1.6998253151313545,0.059582734152927204,-1.7028535432815552
52,-1.7076230823379202,0.059562671813133454,-1.695034070968628
